F1 code,F0 code,Rep,source,F0parasite,F0temp,F1parasite,F1temp,Body.size,Embedded.spore,Penetrated.spore,attack,gut.resistance,Hemocytes,Hemocytes.per.spore,lifespan,infection,mean foregut width,totalbaby,ageatfirst,firstclutch,earlydeath,maturetrans,infection.status
UC9,UW9,9,UW9,control,warming,control,control,1388.99,,,,,,,84,,,151,8,4,0,,control
UC10,UW10,10,UW10,control,warming,control,control,1121.9,,,,,,,52,,,193,11,6,0,,control
UC11,UW11,11,UW11,control,warming,control,control,1182.78,,,,,,,56,,,99,8,3,0,,control
UC13,UW13,13,UW13,control,warming,control,control,1301.67,,,,,,,25,,,56,8,4,0,,control
UC14,UW14,14,UW7,control,warming,control,control,1382.63,,,,,,,66,,,192,8,4,0,,control
UC15,UW15,15,UW15,control,warming,control,control,1241.54,,,,,,,59,,,154,8,1,0,,control
UC16,UW16,16,UW14,control,warming,control,control,1426.61,,,,,,,62,,,181,8,6,0,,control
UC17,UW17,17,UW17,control,warming,control,control,1381.45,,,,,,,80,,,178,8,3,0,,control
UC18,UW18,18,UW22,control,warming,control,control,1466.01,,,,,,,73,,,178,8,4,0,,control
UC19,UW19,19,UW19,control,warming,control,control,1365.72,,,,,,,13,,,9,8,3,0,,control
UC20,UW20,20,UW20,control,warming,control,control,1425.67,,,,,,,,,,139,8,4,0,,control
IC1,UW1,1,UW1,control,warming,infection,control,1367.66,6,6,12,0.5,27,4.5,8,0,23.02,2,8,2,0,0,exposed-uninfected
IC2,UW2,2,UW2,control,warming,infection,control,1221.53,5,10,15,0.333333333,40,4,17,1,20.47666667,25,8,2,0,657500,exposed-infected
IC3,UW3,3,UW3,control,warming,infection,control,1379.93,3,13,16,0.1875,85,6.538461538,21,1,17.32,21,8,3,0,1087500,exposed-infected
IC4,UW4,4,UW21,control,warming,infection,control,1427.49,2,7,9,0.222222222,9,1.285714286,70,0,22.8,159,9,3,0,0,exposed-uninfected
IC5,UW5,5,UW5,control,warming,infection,control,1424.85,3,13,16,0.1875,37,2.846153846,18,1,22.7,32,8,3,0,95000,exposed-infected
IC6,UW6,6,UW6,control,warming,infection,control,1376.81,9,0,9,1,0,,17,0,20.96,15,9,5,0,0,exposed-uninfected
IC7,UW7,7,UW24,control,warming,infection,control,1303.08,9,8,17,0.529411765,10,1.25,11,0,21.60333333,8,8,2,0,0,exposed-uninfected
IC8,UW8,8,UW8,control,warming,infection,control,1252.27,7,13,20,0.35,97,7.461538462,23,1,21.27,30,8,3,0,1020000,exposed-infected
