F1 code,F0 code,Rep,source,F0parasite,F0temp,F1parasite,F1temp,Body.size,Embedded.spore,Penetrated.spore,attack,gut.resistance,Hemocytes,Hemocytes.per.spore,lifespan,infection,mean foregut width,totalbaby,ageatfirst,firstclutch,earlydeath,maturetrans,infection.status
IW10,IW10,10,IW10,infection,warming,infection,warming,1393.33,5,8,13,0.384615385,31,3.875,15,1,20.77,23,7,5,0,442500,exposed-infected
IW11,IW11,11,IW11,infection,warming,infection,warming,1462.56,5,4,9,0.555555556,2,0.5,14,1,22.65,20,6,5,0,1155000,exposed-infected
IW12,IW12,12,IW29,infection,warming,infection,warming,1255.7,4,10,14,0.285714286,19,1.9,12,1,19.27,11,7,4,0,2500,exposed-infected
IW13,IW13,13,IW13,infection,warming,infection,warming,1488.97,4,2,6,0.666666667,9,4.5,14,1,24.24,19,6,5,0,1030000,exposed-infected
IW14,IW14,14,IW14,infection,warming,infection,warming,1152.41,3,14,17,0.176470588,35,2.5,13,1,22.44,13,7,1,0,252500,exposed-infected
IW15,IW15,15,IW15,infection,warming,infection,warming,1341.47,8,7,15,0.533333333,15,2.142857143,44,0,19.49,70,7,4,0,0,exposed-uninfected
IW16,IW16,16,IW3,infection,warming,infection,warming,1371.29,3,1,4,0.75,3,3,19,1,19.29,18,7,2,0,2500,exposed-infected
IW17,IW17,17,IW17,infection,warming,infection,warming,1308.41,7,9,16,0.4375,27,3,15,1,17.72,14,7,4,0,17500,exposed-infected
IW18,IW18,18,IW18,infection,warming,infection,warming,1320.15,5,4,9,0.555555556,9,2.25,17,1,19.96,15,7,4,0,52500,exposed-infected
IW19,IW19,19,IW19,infection,warming,infection,warming,1235.5,4,6,10,0.4,9,1.5,12,1,20.38,7,7,2,0,667500,exposed-infected
IW20,IW20,20,IW22,infection,warming,infection,warming,1301.23,0,4,4,0,9,2.25,51,0,21.35,146,7,3,0,0,exposed-uninfected
